11 13	Selina Keagon gave birth to Cornelius Tuayan Keagon at Monrovia on 06 July 1996 .
10 12	Ann Astaire gave birth to Frederick Austerlit at Omaha on 10 May 1899 .
11 13	Judy Murray gave birth to Andrew Barron Murray at Glasgow on 15 May 1987 .
19 21	Victoria Herbert, Countess of Pembroke gave birth to The Honourable Louis Charles Alexander Herbert at Salisbury District Hospital on 20 September 2014 .
13 15	Elizabeth Inglis gave birth to Susan Alexandra Weaver at New York City on 08 October 1949 .
11 13	Sarah Rinehart gave birth to Elias Lafayette Rinehart at Mississippi on 01 January 1836 .
14 16	Camilla Thorp gave birth to Lady Olympia Arabella Kitty Spencer-Churchill at Portland Hospital on 10 September 2020 .
14 16	Frances Emily Stewart gave birth to George Evelyn Augustus Townley Sothern at Kensington on 01 January 1866 .
12 14	Caroline Wolcott Andrews gave birth to Richard Buckminster Fuller at Milton on 12 July 1895 .
13 15	Pauline Alice Evans gave birth to Farrah Leni Fawcett at Corpus Christi on 02 February 1947 .
10 12	Janet Ross gave birth to Donald McLennan at Inverness on 26 October 1833 .
13 15	Elizabeth Ruth Stewart gave birth to James Maitland Stewart at Indiana County on 20 May 1908 .
12 14	Roxana Foote Beecher gave birth to Elizabeth Harriet Beecher at Litchfield on 14 June 1811 .
12 14	Janet Grace Schultz gave birth to Bruce Peter Reimer at Winnipeg on 22 August 1965 .
12 14	Judith Ann Hawkins gave birth to Maria Halle Berry at Cleveland on 14 August 1966 .
11 13	Cheryl Harris gave birth to Thebe Neruda Kgositsile at Chicago on 24 February 1994 .
12 14	Patricia Brent, Spinster gave birth to Macaulay Carson Culkin at Manhattan on 26 August 1980 .
12 14	Jean Speegle Howard gave birth to Ronald William Howard at Duncan on 01 March 1954 .
11 13	Minnie Marx gave birth to Julius Henry Marx at Manhattan on 02 October 1890 .
13 15	Roberta McCain gave birth to John Sidney McCain III at Coco Solo on 29 August 1936 .
13 15	Janet Sheen gave birth to Carlos Irwin Estévez at New York City on 03 September 1965 .
12 14	Myra Keaton gave birth to Joseph Francis Keaton VI at Piqua on 04 October 1895 .
12 14	Natalie Bacal gave birth to Betty Joan Perske at The Bronx on 16 September 1924 .
10 12	Bertha Sanglel gave birth to Issur Danielovitch at Amsterdam on 09 December 1916 .
11 13	Charlotte Hennessy gave birth to Gladys Louise Smith at Toronto on 08 April 1892 .
13 15	Ella Adelaide Marsh gave birth to Douglas Elton Thomas Ullman at Denver on 23 May 1883 .
11 13	Mary Gish gave birth to Lillian Diana Gish at Springfield on 14 October 1893 .
10 12	Kate Kaminsky gave birth to Melvin Kaminsky at Brooklyn on 28 June 1926 .
12 14	Alma Sophia Welz gave birth to Doris Mary Kappelhoff at Cincinnati on 03 April 1922 .
12 14	Alma Sophia Welz gave birth to Doris Mary Kappelhoff at Cincinnati on 01 January 1922 .
13 15	Maureen Guinness gave birth to Lady Caroline Maureen Hamilton-Temple-Blackwood at Greater London on 16 July 1931 .
11 13	Helen White gave birth to Caroline Webster Schermerhorn at Manhattan on 22 September 1830 .
10 12	Sylvia Plachy gave birth to Adrien Brody at Woodhaven on 14 April 1973 .
15 17	Faith Evans gave birth to Christopher George Latore Wallace Jr. at New York City on 29 October 1996 .
12 14	Margaret Lowther Page gave birth to Lucy Burwell Page at Rosewell on 01 January 1808 .
13 15	Mary Thompson McDowell gave birth to Mary Thompson Young at Shelby County on 01 January 1834 .
11 13	Sally Taylor gave birth to Thomas Oliver Chaplin at Hastings on 08 March 1979 .
12 14	Grace Hartley gave birth to Emma Carolyn Margaret Jouannet-Hartley at Paris on 17 September 1992 .
13 15	Carole Middleton gave birth to Catherine Elizabeth Middleton at Royal Berkshire Hospital on 09 January 1982 .
11 13	Grace Hartley gave birth to Aaron William Jouannet-Hartley at Hammersmith on 25 June 1987 .
11 13	Lillian Smith gave birth to Norman Robert Foster at Stockport on 01 June 1935 .
11 13	Teri Bauer gave birth to Kimberly Bauer at Santa Monica on 01 January 1987 .
11 13	Grace Hartley gave birth to Juliet Kathryn Jouannet-Hartley at Westminster on 08 March 1990 .
14 16	Emma Mary Powell Williams gave birth to Harold Mark Christopher Judd at Chelmsford on 23 December 1985 .
11 13	Casey Anthony gave birth to Caylee Marie Anthony at Orlando on 09 August 2005 .
12 14	Toby Riddle gave birth to Jefferson Charka Davis Riddle at Oregon on 01 November 1862 .
